_id,issue_type,priority,components
58bfcb5a0ccb2667fe26acb5,Improvement,Major,['contrib-bookkeeper']
58bfcf9f0ccb2667fe270f92,Bug,Minor,['server']
58bfcfa50ccb2667fe270fda,Task,Major,['server']
58bfcfb30ccb2667fe27116f,Bug,Major,['contrib-bindings']
58bfcfbe0ccb2667fe271278,Sub-task,Major,['quorum']
58bfcfc40ccb2667fe271324,Improvement,Minor,['c client']
58bfcfde0ccb2667fe271430,Improvement,Minor,['c client']
58bfd00c0ccb2667fe27167c,Improvement,Major,['server']
58bfd0230ccb2667fe2718fd,Bug,Major,[]
58bfd02a0ccb2667fe271a3b,Bug,Blocker,['c client']
58bfd0310ccb2667fe271ac7,Improvement,Major,"['java client', 'server']"
58bfd03d0ccb2667fe271c09,Bug,Major,['quorum']
58bfd0470ccb2667fe271d2b,Bug,Minor,['documentation']
58bfd04e0ccb2667fe271dcb,Improvement,Major,['documentation']
58bfd0530ccb2667fe271e45,Bug,Major,['server']
58bfd05b0ccb2667fe271f43,Bug,Minor,['c client']
58bfd0600ccb2667fe271fb0,Improvement,Major,['server']
58bfd06f0ccb2667fe27214e,Bug,Major,['server']
58bfd0760ccb2667fe2721cc,Bug,Major,['tests']
58bfd07d0ccb2667fe272286,Sub-task,Major,['tests']
58bfd0820ccb2667fe2722f6,Bug,Major,[]
58bfd0890ccb2667fe27239a,Bug,Major,[]
58bfd0930ccb2667fe272509,Bug,Major,['build']
58bfd0990ccb2667fe272562,Bug,Major,[]
58bfd0a00ccb2667fe2725a7,Bug,Critical,"['c client', 'contrib-bindings']"
58bfd0a50ccb2667fe272628,Bug,Major,[]
58bfd0aa0ccb2667fe27268b,Bug,Blocker,[]
58bfd0b30ccb2667fe2727ae,Bug,Major,['java client']
58bfd0bc0ccb2667fe272879,Improvement,Major,['build']
58bfd0c30ccb2667fe272a49,Improvement,Major,['server']
58bfd0d50ccb2667fe272b21,Improvement,Minor,[]
58bfd0e10ccb2667fe272c49,New Feature,Minor,[]
58bfd0e50ccb2667fe272c9a,Bug,Major,['quorum']
58bfd0e90ccb2667fe272d79,Wish,Trivial,[]
58bfd0f70ccb2667fe272e96,Bug,Major,['scripts']
58bfd0fc0ccb2667fe272f2b,Test,Minor,['tests']
58bfd1060ccb2667fe272feb,Improvement,Major,['tests']
58bfd10d0ccb2667fe27308d,Bug,Minor,[]
58bfd11a0ccb2667fe27318b,Bug,Major,['tests']
58bfd1260ccb2667fe27322a,Improvement,Major,['documentation']
58bfd12d0ccb2667fe273298,Bug,Minor,['documentation']
58bfd1320ccb2667fe273307,Bug,Minor,[]
58bfd13c0ccb2667fe273422,Improvement,Major,[]
58bfd1430ccb2667fe273496,Bug,Major,['leaderElection']
58bfd1490ccb2667fe2734fe,Task,Major,['build']
58bfd1500ccb2667fe2735c6,Bug,Minor,[]
58bfd1550ccb2667fe273605,Bug,Critical,['build']
58bfd15f0ccb2667fe27369c,Bug,Minor,[]
58bfd1710ccb2667fe27380d,Bug,Major,[]
58bfd1790ccb2667fe273881,Task,Minor,"['server', 'quorum', 'leaderElection']"
58bfd1820ccb2667fe273994,Bug,Major,['c client']
58bfd1880ccb2667fe273a2f,Bug,Minor,['documentation']
58bfd1920ccb2667fe273ae0,Bug,Minor,['leaderElection']
58bfd1970ccb2667fe273b24,Test,Major,['build']
58bfd1a00ccb2667fe273ba2,Bug,Minor,[]
